epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,5948.67,1.61538,1.88336,2.04246,0.43566,0.12416,0.12063,0.08068,1.60823,1.76873,2.18353,0.000867832,0.000867832,0.000867832
121,6032.01,1.56215,1.79619,2.00774,0.49077,0.10038,0.11079,0.06844,1.68494,1.88356,2.26245,0.000863116,0.000863116,0.000863116
122,6130.67,1.59898,1.87126,2.04392,0.5201,0.07509,0.09186,0.05291,1.60302,1.74474,2.14338,0.0008584,0.0008584,0.0008584
123,6216.7,1.58572,1.84846,2.01336,0.64207,0.07692,0.0821,0.05174,1.6334,1.82274,2.18022,0.000853685,0.000853685,0.000853685
124,6335.89,1.58256,1.86792,2.02279,0.52024,0.10073,0.10453,0.06855,1.62354,1.80815,2.13291,0.000848969,0.000848969,0.000848969
125,6447.6,1.49737,1.82003,1.96069,0.49906,0.10073,0.10489,0.06647,1.68074,1.79137,2.18681,0.000844253,0.000844253,0.000844253
126,6569.95,1.55461,1.85767,1.97339,0.48177,0.12454,0.1186,0.07265,1.50774,1.69991,2.08104,0.000839537,0.000839537,0.000839537
127,6667.49,1.56528,1.87548,1.997,0.47855,0.10073,0.11134,0.07275,1.53093,1.73245,2.04748,0.000834822,0.000834822,0.000834822
128,6754.76,1.61365,1.89203,2.04282,0.54086,0.13749,0.17054,0.10144,1.50114,1.55466,2.01445,0.000830106,0.000830106,0.000830106
129,6847.79,1.49434,1.80182,1.96002,0.31601,0.10052,0.08737,0.05648,1.54251,1.64102,2.05439,0.00082539,0.00082539,0.00082539
130,6913.21,1.51805,1.75131,1.95095,0.52703,0.0989,0.09863,0.05609,1.63135,1.89634,2.14322,0.000820675,0.000820675,0.000820675
131,7008.5,1.55302,1.72768,1.94328,0.44369,0.07509,0.07987,0.04666,1.52892,1.95883,2.08101,0.000815959,0.000815959,0.000815959
132,7110.58,1.54623,1.77263,2.01001,0.60561,0.0989,0.11961,0.06784,1.47081,1.85408,2.05631,0.000811243,0.000811243,0.000811243
133,7211.95,1.58693,1.72252,2.03592,0.7439,0.12271,0.14268,0.08525,1.51311,1.7199,2.07304,0.000806528,0.000806528,0.000806528
134,7317.5,1.48571,1.67048,1.89569,0.60748,0.15018,0.15253,0.08571,1.61518,1.82254,2.16278,0.000801812,0.000801812,0.000801812
135,7405.26,1.53727,1.77792,1.99484,0.8124,0.12454,0.157,0.09332,1.5518,1.60202,2.09056,0.000797096,0.000797096,0.000797096
136,7505.86,1.43434,1.61676,1.89012,0.46962,0.15018,0.16862,0.10486,1.5375,1.59369,2.12042,0.00079238,0.00079238,0.00079238
137,7600.3,1.46256,1.74728,1.88323,0.72074,0.15018,0.17295,0.10238,1.43793,1.544,2.05359,0.000787665,0.000787665,0.000787665
138,7720.5,1.47822,1.7249,1.92379,0.60133,0.12454,0.14865,0.08228,1.56571,1.57463,2.10495,0.000782949,0.000782949,0.000782949
